round,global_model_acc,client0_acc,client1_acc,client2_acc
1,0.05,0.12962962962962962,0.1509433962264151,0.1509433962264151
2,0.05,0.12962962962962962,0.1509433962264151,0.1509433962264151
3,0.05,0.12962962962962962,0.1509433962264151,0.1509433962264151
4,0.05,0.12962962962962962,0.1509433962264151,0.1509433962264151
5,0.05,0.12962962962962962,0.1509433962264151,0.1509433962264151
6,0.05,0.12962962962962962,0.1509433962264151,0.1509433962264151
7,0.05,0.12962962962962962,0.1509433962264151,0.1509433962264151
8,0.05,0.12962962962962962,0.1509433962264151,0.1509433962264151
9,0.05,0.12962962962962962,0.1509433962264151,0.1509433962264151
10,0.05,0.12962962962962962,0.1509433962264151,0.1509433962264151
